jump_n_m,sigma_neck_MPa,P_kN,elastic_def_um,def_Ls_um,damage,kappa
3.1251e-04,0.0035,0.0424,0.0100,312.5225,1.0000,3.1251e-04
3.1410e-04,0.0034,0.0410,0.0097,314.1085,1.0000,3.1410e-04
3.1569e-04,0.0033,0.0397,0.0093,315.6946,1.0000,3.1569e-04
3.1727e-04,0.0032,0.0384,0.0090,317.2806,1.0000,3.1727e-04
3.1886e-04,0.0031,0.0371,0.0087,318.8666,1.0000,3.1886e-04
3.2044e-04,0.0030,0.0359,0.0085,320.4527,1.0000,3.2044e-04
3.2203e-04,0.0029,0.0347,0.0082,322.0387,1.0000,3.2203e-04
3.2362e-04,0.0028,0.0336,0.0079,323.6248,1.0000,3.2362e-04
3.2520e-04,0.0027,0.0325,0.0076,325.2109,1.0000,3.2520e-04
3.2679e-04,0.0026,0.0314,0.0074,326.7970,1.0000,3.2679e-04
3.2838e-04,0.0025,0.0304,0.0071,328.3831,1.0000,3.2838e-04
3.2996e-04,0.0024,0.0294,0.0069,329.9692,1.0000,3.2996e-04
3.3155e-04,0.0024,0.0284,0.0067,331.5553,1.0000,3.3155e-04
3.3313e-04,0.0023,0.0275,0.0065,333.1414,1.0000,3.3313e-04
3.3472e-04,0.0022,0.0266,0.0063,334.7275,1.0000,3.3472e-04
3.3631e-04,0.0021,0.0257,0.0060,336.3137,1.0000,3.3631e-04
3.3789e-04,0.0021,0.0248,0.0058,337.8998,1.0000,3.3789e-04
3.3948e-04,0.0020,0.0240,0.0057,339.4860,1.0000,3.3948e-04
3.4107e-04,0.0019,0.0232,0.0055,341.0721,1.0000,3.4107e-04
3.4265e-04,0.0019,0.0225,0.0053,342.6583,1.0000,3.4265e-04
3.4424e-04,0.0018,0.0217,0.0051,344.2444,1.0000,3.4424e-04
3.4583e-04,0.0018,0.0210,0.0049,345.8306,1.0000,3.4583e-04
3.4741e-04,0.0017,0.0203,0.0048,347.4168,1.0000,3.4741e-04
3.4900e-04,0.0016,0.0197,0.0046,349.0030,1.0000,3.4900e-04
3.5058e-04,0.0016,0.0190,0.0045,350.5891,1.0000,3.5058e-04
3.5217e-04,0.0015,0.0184,0.0043,352.1753,1.0000,3.5217e-04
3.5376e-04,0.0015,0.0178,0.0042,353.7615,1.0000,3.5376e-04
3.5534e-04,0.0014,0.0172,0.0040,355.3477,1.0000,3.5534e-04
3.5693e-04,0.0014,0.0166,0.0039,356.9339,1.0000,3.5693e-04
3.5852e-04,0.0013,0.0161,0.0038,358.5201,1.0000,3.5852e-04
3.6010e-04,0.0013,0.0156,0.0037,360.1064,1.0000,3.6010e-04
3.6169e-04,0.0013,0.0150,0.0035,361.6926,1.0000,3.6169e-04
3.6328e-04,0.0012,0.0145,0.0034,363.2788,1.0000,3.6328e-04
3.6486e-04,0.0012,0.0141,0.0033,364.8650,1.0000,3.6486e-04
3.6645e-04,0.0011,0.0136,0.0032,366.4513,1.0000,3.6645e-04
3.6803e-04,0.0011,0.0132,0.0031,368.0375,1.0000,3.6803e-04
3.6962e-04,0.0011,0.0127,0.0030,369.6237,1.0000,3.6962e-04
3.7121e-04,0.0010,0.0123,0.0029,371.2100,1.0000,3.7121e-04
3.7279e-04,0.0010,0.0119,0.0028,372.7962,1.0000,3.7279e-04
3.7438e-04,0.0010,0.0115,0.0027,374.3825,1.0000,3.7438e-04
3.7597e-04,0.0009,0.0111,0.0026,375.9687,1.0000,3.7597e-04
3.7755e-04,0.0009,0.0108,0.0025,377.5550,1.0000,3.7755e-04
3.7914e-04,0.0009,0.0104,0.0025,379.1412,1.0000,3.7914e-04
3.8073e-04,0.0008,0.0101,0.0024,380.7275,1.0000,3.8073e-04
3.8231e-04,0.0008,0.0097,0.0023,382.3137,1.0000,3.8231e-04
3.8390e-04,0.0008,0.0094,0.0022,383.9000,1.0000,3.8390e-04
3.8548e-04,0.0008,0.0091,0.0021,385.4863,1.0000,3.8548e-04
3.8707e-04,0.0007,0.0088,0.0021,387.0725,1.0000,3.8707e-04
3.8866e-04,0.0007,0.0085,0.0020,388.6588,1.0000,3.8866e-04
3.9024e-04,0.0007,0.0082,0.0019,390.2451,1.0000,3.9024e-04
3.9183e-04,0.0007,0.0080,0.0019,391.8313,1.0000,3.9183e-04
3.9342e-04,0.0006,0.0077,0.0018,393.4176,1.0000,3.9342e-04
3.9500e-04,0.0006,0.0075,0.0018,395.0039,1.0000,3.9500e-04
3.9659e-04,0.0006,0.0072,0.0017,396.5902,1.0000,3.9659e-04
3.9817e-04,0.0006,0.0070,0.0016,398.1765,1.0000,3.9817e-04
3.9976e-04,0.0006,0.0067,0.0016,399.7627,1.0000,3.9976e-04
4.0135e-04,0.0005,0.0065,0.0015,401.3490,1.0000,4.0135e-04
4.0293e-04,0.0005,0.0063,0.0015,402.9353,1.0000,4.0293e-04
4.0452e-04,0.0005,0.0061,0.0014,404.5216,1.0000,4.0452e-04
4.0611e-04,0.0005,0.0059,0.0014,406.1079,1.0000,4.0611e-04
4.0769e-04,0.0005,0.0057,0.0013,407.6942,1.0000,4.0769e-04
4.0928e-04,0.0005,0.0055,0.0013,409.2805,1.0000,4.0928e-04
4.1087e-04,0.0004,0.0053,0.0013,410.8668,1.0000,4.1087e-04
4.1245e-04,0.0004,0.0052,0.0012,412.4531,1.0000,4.1245e-04
4.1404e-04,0.0004,0.0050,0.0012,414.0394,1.0000,4.1404e-04
4.1562e-04,0.0004,0.0048,0.0011,415.6257,1.0000,4.1562e-04
4.1721e-04,0.0004,0.0047,0.0011,417.2120,1.0000,4.1721e-04
4.1880e-04,0.0004,0.0045,0.0011,418.7983,1.0000,4.1880e-04
4.2038e-04,0.0004,0.0044,0.0010,420.3846,1.0000,4.2038e-04
4.2197e-04,0.0004,0.0042,0.0010,421.9709,1.0000,4.2197e-04
4.2356e-04,0.0003,0.0041,0.0010,423.5572,1.0000,4.2356e-04
4.2514e-04,0.0003,0.0039,0.0009,425.1435,1.0000,4.2514e-04
4.2673e-04,0.0003,0.0038,0.0009,426.7298,1.0000,4.2673e-04
4.2832e-04,0.0003,0.0037,0.0009,428.3161,1.0000,4.2832e-04
4.2990e-04,0.0003,0.0036,0.0008,429.9024,1.0000,4.2990e-04
4.3149e-04,0.0003,0.0035,0.0008,431.4887,1.0000,4.3149e-04
4.3307e-04,0.0003,0.0033,0.0008,433.0751,1.0000,4.3307e-04
4.3466e-04,0.0003,0.0032,0.0008,434.6614,1.0000,4.3466e-04
4.3625e-04,0.0003,0.0031,0.0007,436.2477,1.0000,4.3625e-04
4.3783e-04,0.0003,0.0030,0.0007,437.8340,1.0000,4.3783e-04
4.3942e-04,0.0002,0.0029,0.0007,439.4203,1.0000,4.3942e-04
4.4101e-04,0.0002,0.0028,0.0007,441.0066,1.0000,4.4101e-04
4.4259e-04,0.0002,0.0027,0.0006,442.5929,1.0000,4.4259e-04
4.4418e-04,0.0002,0.0026,0.0006,444.1793,1.0000,4.4418e-04
4.4576e-04,0.0002,0.0026,0.0006,445.7656,1.0000,4.4576e-04
4.4735e-04,0.0002,0.0025,0.0006,447.3519,1.0000,4.4735e-04
4.4894e-04,0.0002,0.0024,0.0006,448.9382,1.0000,4.4894e-04
4.5052e-04,0.0002,0.0023,0.0005,450.5245,1.0000,4.5052e-04
4.5211e-04,0.0002,0.0022,0.0005,452.1109,1.0000,4.5211e-04
4.5370e-04,0.0002,0.0022,0.0005,453.6972,1.0000,4.5370e-04
4.5528e-04,0.0002,0.0021,0.0005,455.2835,1.0000,4.5528e-04
4.5687e-04,0.0002,0.0020,0.0005,456.8698,1.0000,4.5687e-04
