jump_n_m,sigma_neck_MPa,P_kN,elastic_def_um,def_Ls_um,damage,kappa
1.3919e-05,2.1930,26.3158,6.1959,20.1147,0.9998,1.3919e-05
1.4242e-05,2.1842,26.2105,6.1711,20.4135,0.9998,1.4242e-05
1.4566e-05,2.1754,26.1053,6.1464,20.7123,0.9999,1.4566e-05
1.4890e-05,2.1667,26.0001,6.1216,21.0112,0.9999,1.4890e-05
1.5213e-05,2.1579,25.8949,6.0968,21.3100,0.9999,1.5213e-05
1.5537e-05,2.1491,25.7897,6.0721,21.6088,0.9999,1.5537e-05
1.5860e-05,2.1404,25.6845,6.0473,21.9077,0.9999,1.5860e-05
1.6184e-05,2.1316,25.5793,6.0225,22.2065,0.9999,1.6184e-05
1.6508e-05,2.1228,25.4741,5.9977,22.5053,0.9999,1.6508e-05
1.6831e-05,2.1141,25.3689,5.9730,22.8042,0.9999,1.6831e-05
1.7155e-05,2.1053,25.2637,5.9482,23.1030,0.9999,1.7155e-05
1.7478e-05,2.0965,25.1585,5.9234,23.4018,0.9999,1.7478e-05
1.7802e-05,2.0878,25.0533,5.8987,23.7007,0.9999,1.7802e-05
1.8126e-05,2.0790,24.9481,5.8739,23.9995,0.9999,1.8126e-05
1.8449e-05,2.0702,24.8429,5.8491,24.2983,0.9999,1.8449e-05
1.8773e-05,2.0615,24.7377,5.8244,24.5972,0.9999,1.8773e-05
1.9096e-05,2.0527,24.6325,5.7996,24.8960,0.9999,1.9096e-05
1.9420e-05,2.0439,24.5273,5.7748,25.1948,0.9999,1.9420e-05
1.9744e-05,2.0352,24.4221,5.7500,25.4937,0.9999,1.9744e-05
2.0067e-05,2.0264,24.3169,5.7253,25.7925,0.9999,2.0067e-05
2.0391e-05,2.0176,24.2116,5.7005,26.0913,0.9999,2.0391e-05
2.0714e-05,2.0089,24.1064,5.6757,26.3902,0.9999,2.0714e-05
2.1038e-05,2.0001,24.0012,5.6510,26.6890,0.9999,2.1038e-05
2.1362e-05,1.9913,23.8960,5.6262,26.9878,0.9999,2.1362e-05
2.1685e-05,1.9826,23.7908,5.6014,27.2867,0.9999,2.1685e-05
2.2009e-05,1.9738,23.6856,5.5767,27.5855,0.9999,2.2009e-05
2.2332e-05,1.9650,23.5804,5.5519,27.8843,0.9999,2.2332e-05
2.2656e-05,1.9563,23.4752,5.5271,28.1832,0.9999,2.2656e-05
2.2980e-05,1.9475,23.3700,5.5023,28.4820,0.9999,2.2980e-05
2.3303e-05,1.9387,23.2648,5.4776,28.7808,0.9999,2.3303e-05
2.3627e-05,1.9300,23.1596,5.4528,29.0797,0.9999,2.3627e-05
2.3950e-05,1.9212,23.0544,5.4280,29.3785,0.9999,2.3950e-05
2.4274e-05,1.9124,22.9492,5.4033,29.6773,0.9999,2.4274e-05
2.4598e-05,1.9037,22.8440,5.3785,29.9762,0.9999,2.4598e-05
2.4921e-05,1.8949,22.7388,5.3537,30.2750,0.9999,2.4921e-05
2.5245e-05,1.8861,22.6336,5.3290,30.5738,0.9999,2.5245e-05
2.5568e-05,1.8774,22.5284,5.3042,30.8727,0.9999,2.5568e-05
2.5892e-05,1.8686,22.4232,5.2794,31.1715,0.9999,2.5892e-05
2.6216e-05,1.8598,22.3179,5.2546,31.4703,0.9999,2.6216e-05
2.6539e-05,1.8511,22.2127,5.2299,31.7692,0.9999,2.6539e-05
2.6863e-05,1.8423,22.1075,5.2051,32.0680,0.9999,2.6863e-05
2.7186e-05,1.8335,22.0023,5.1803,32.3668,0.9999,2.7186e-05
2.7510e-05,1.8248,21.8971,5.1556,32.6657,0.9999,2.7510e-05
2.7834e-05,1.8160,21.7919,5.1308,32.9645,0.9999,2.7834e-05
2.8157e-05,1.8072,21.6867,5.1060,33.2633,0.9999,2.8157e-05
2.8481e-05,1.7985,21.5815,5.0813,33.5622,0.9999,2.8481e-05
2.8805e-05,1.7897,21.4763,5.0565,33.8610,0.9999,2.8805e-05
2.9128e-05,1.7809,21.3711,5.0317,34.1598,0.9999,2.9128e-05
2.9452e-05,1.7722,21.2659,5.0069,34.4587,0.9999,2.9452e-05
2.9775e-05,1.7634,21.1607,4.9822,34.7575,0.9999,2.9775e-05
3.0099e-05,1.7546,21.0555,4.9574,35.0563,0.9999,3.0099e-05
3.0423e-05,1.7459,20.9503,4.9326,35.3551,0.9999,3.0423e-05
3.0746e-05,1.7371,20.8451,4.9079,35.6540,0.9999,3.0746e-05
3.1070e-05,1.7283,20.7399,4.8831,35.9528,0.9999,3.1070e-05
3.1393e-05,1.7196,20.6347,4.8583,36.2516,0.9999,3.1393e-05
3.1717e-05,1.7108,20.5295,4.8336,36.5505,0.9999,3.1717e-05
3.2041e-05,1.7020,20.4243,4.8088,36.8493,0.9999,3.2041e-05
3.2364e-05,1.6933,20.3190,4.7840,37.1481,0.9999,3.2364e-05
3.2688e-05,1.6845,20.2138,4.7592,37.4470,0.9999,3.2688e-05
3.3011e-05,1.6757,20.1086,4.7345,37.7458,0.9999,3.3011e-05
3.3335e-05,1.6670,20.0034,4.7097,38.0446,0.9999,3.3335e-05
3.3659e-05,1.6582,19.8982,4.6849,38.3435,1.0000,3.3659e-05
3.3982e-05,1.6494,19.7930,4.6602,38.6423,1.0000,3.3982e-05
3.4306e-05,1.6407,19.6878,4.6354,38.9411,1.0000,3.4306e-05
3.4629e-05,1.6319,19.5826,4.6106,39.2400,1.0000,3.4629e-05
3.4953e-05,1.6231,19.4774,4.5859,39.5388,1.0000,3.4953e-05
3.5277e-05,1.6143,19.3722,4.5611,39.8376,1.0000,3.5277e-05
